#k-distance eigenvalue[eV]
0.26188448 -1.05620000
0.31426138 -1.00270000
0.36663827 -0.93990000
0.41901517 -0.86820000
0.47139207 -0.78820000
0.52376894 -0.70070000
0.57614584 -0.60680000
0.62852274 -0.50820000
0.68089963 -0.40720000
0.73327653 -0.30700000
0.78565342 -0.21180000
0.83803032 -0.12720000
0.89040722 -0.05950000
0.94278411 -0.01540000
0.99516101 0.00000000
0.99516101 0.00000000
1.05564064 -0.05040000
1.11612027 -0.18760000
1.17659990 -0.38250000
1.23707953 -0.60840000
1.29755916 -0.84700000
1.35803879 -1.08660000
1.41851842 -1.31990000
1.47899805 -1.54240000
1.53947768 -1.75100000
1.59995729 -1.94350000
1.66043692 -2.11840000
1.72091655 -2.27460000
1.78139618 -2.41120000
1.84187581 -2.52770000
1.90235544 -2.62360000
1.96283507 -2.69850000
2.02331470 -2.75220000
2.08379433 -2.78450000
2.14427396 -2.79520000
2.14427396 -2.79520000
2.16565673 -2.79400000
2.18703952 -2.79050000
2.20842229 -2.78450000
2.22980508 -2.77620000
2.25118785 -2.76550000
2.27257063 -2.75240000
2.29395340 -2.73700000
2.31533619 -2.71920000
2.33671896 -2.69910000
2.35810175 -2.67680000
2.37948452 -2.65210000
2.40086730 -2.62520000
2.42225007 -2.59610000
2.44363286 -2.56480000
2.46501563 -2.53130000
2.48639842 -2.49570000
2.50778119 -2.45800000
2.52916397 -2.41830000
2.55054674 -2.37660000
2.55054674 -2.37660000
2.61469507 -2.24000000
2.67884341 -2.08750000
2.74299174 -1.92120000
2.80714008 -1.74360000
2.87128841 -1.55750000
2.93543675 -1.36670000
2.99958508 -1.17510000
3.06373341 -0.98730000
3.12788175 -0.80800000
3.19203008 -0.64190000
3.25617842 -0.49290000
3.32032675 -0.36390000
3.38447508 -0.25640000
3.44862342 -0.17030000
3.51277175 -0.10440000
3.57692009 -0.05650000
3.64106842 -0.02440000
3.70521676 -0.00600000
3.76936509 0.00000000

0.00000000 1.46850000
0.05237690 1.47420000
0.10475379 1.49140000
0.15713069 1.51990000
0.20950759 1.55960000
0.26188448 1.61030000
0.31426138 1.67170000
0.36663827 1.74320000
0.41901517 1.82420000
0.47139207 1.91370000
0.52376894 2.01040000
0.57614584 2.11250000
0.62852274 2.21750000
0.68089963 2.32210000
0.73327653 2.42140000
0.78565342 2.50890000
0.83803032 2.57440000
0.89040722 2.60220000
0.94278411 2.57970000
0.99516101 2.55720000
0.99516101 2.55720000
1.05564064 2.52770000
1.11612027 2.44300000
1.17659990 2.31310000
1.23707953 2.15100000
1.29755916 1.96910000
1.35803879 1.77840000
1.41851842 1.58770000
1.47899805 1.40380000
1.53947768 1.23170000
1.59995729 1.07540000
1.66043692 0.93810000
1.72091655 0.82220000
1.78139618 0.72980000
1.84187581 0.66260000
1.90235544 0.62200000
1.96283507 0.60940000
2.02331470 0.62600000
2.08379433 0.67280000
2.14427396 0.75090000
2.14427396 0.75090000
2.16565673 0.75230000
2.18703952 0.75640000
2.20842229 0.76330000
2.22980508 0.77290000
2.25118785 0.78520000
2.27257063 0.80030000
2.29395340 0.81800000
2.31533619 0.83850000
2.33671896 0.86160000
2.35810175 0.88740000
2.37948452 0.91580000
2.40086730 0.94680000
2.42225007 0.98040000
2.44363286 1.01650000
2.46501563 1.05520000
2.48639842 1.09630000
2.50778119 1.13980000
2.52916397 1.18560000
2.55054674 1.23380000
2.55054674 1.23380000
2.61469507 1.39150000
2.67884341 1.56710000
2.74299174 1.75780000
2.80714008 1.95950000
2.87128841 2.16680000
2.93543675 2.37210000
2.99958508 2.56550000
3.06373341 2.73480000
3.12788175 2.86720000
3.19203008 2.95340000
3.25617842 2.99170000
3.32032675 2.98920000
3.38447508 2.95790000
3.44862342 2.90190000
3.51277175 2.77790000
3.57692009 2.68140000
3.64106842 2.61240000
3.70521676 2.57100000
3.76936509 2.55720000

0.00000000 3.34950000
0.05237690 3.35490000
0.10475379 3.37080000
0.15713069 3.39580000
0.20950759 3.42740000
0.26188448 3.46190000
0.31426138 3.49440000
0.36663827 3.51830000
0.41901517 3.52600000
0.47139207 3.50980000
0.52376894 3.46350000
0.57614584 3.38500000
0.62852274 3.27720000
0.68089963 3.14800000
0.73327653 3.00810000
0.78565342 2.86960000
0.83803032 2.74450000
0.89040722 2.64450000
0.94278411 2.57970000
0.99516101 2.55720000
0.99516101 2.55720000
1.05564064 2.62220000
1.11612027 2.80340000
1.17659990 3.07150000
1.23707953 3.39920000
1.29755916 3.76790000
1.35803879 4.16520000
1.41851842 4.04890000
1.47899805 3.71030000
1.53947768 3.32930000
1.59995729 2.94510000
1.66043692 2.57670000
1.72091655 2.23350000
1.78139618 1.92040000
1.84187581 1.64010000
1.90235544 1.39390000
1.96283507 1.18220000
2.02331470 1.00480000
2.08379433 0.86130000
2.14427396 0.75090000
2.14427396 0.75090000
2.16565673 0.76600000
2.18703952 0.81080000
2.20842229 0.88370000
2.22980508 0.98240000
2.25118785 1.10410000
2.27257063 1.24620000
2.29395340 1.40590000
2.31533619 1.58100000
2.33671896 1.76940000
2.35810175 1.96940000
2.37948452 2.17960000
2.40086730 2.39870000
2.42225007 2.62580000
2.44363286 2.85990000
2.46501563 3.10030000
2.48639842 3.34640000
2.50778119 3.59750000
2.52916397 3.85320000
2.55054674 4.11280000
2.55054674 4.11280000
2.61469507 4.90820000
2.67884341 5.69620000
2.74299174 6.02580000
2.80714008 5.61520000
2.87128841 5.22800000
2.93543675 4.86530000
2.99958508 4.52760000
3.06373341 4.21570000
3.12788175 3.92980000
3.19203008 3.67040000
3.25617842 3.43760000
3.32032675 3.23190000
3.38447508 3.05330000
3.44862342 2.90990000
3.51277175 2.85370000
3.57692009 2.77230000
3.64106842 2.65930000
3.70521676 2.58400000
3.76936509 2.55720000

0.00000000 3.34950000
0.05237690 3.35490000
0.10475379 3.37080000
0.15713069 3.39580000
0.20950759 3.42740000
0.26188448 3.46190000
0.31426138 3.49440000
0.36663827 3.51830000
0.41901517 3.52600000
0.47139207 3.50980000
0.52376894 3.46350000
0.57614584 3.38500000
0.62852274 3.27720000
0.68089963 3.14800000
0.73327653 3.00810000
0.78565342 2.86960000
0.83803032 2.74450000
0.89040722 2.64450000
0.94278411 2.58170000
0.99516101 2.55720000
0.99516101 2.55720000
1.05564064 2.62220000
1.11612027 2.80340000
1.17659990 3.07150000
1.23707953 3.39920000
1.29755916 3.76790000
1.35803879 4.16520000
1.41851842 4.58360000
1.47899805 5.01770000
1.53947768 5.46420000
1.59995729 5.92060000
1.66043692 6.38530000
1.72091655 6.85700000
1.78139618 7.33500000
1.84187581 7.81830000
1.90235544 8.30550000
1.96283507 8.79330000
2.02331470 9.27290000
2.08379433 9.71040000
2.14427396 9.94070000
2.14427396 9.94070000
2.16565673 9.92440000
2.18703952 9.87680000
2.20842229 9.80140000
2.22980508 9.70290000
2.25118785 9.58600000
2.27257063 9.45510000
2.29395340 9.31360000
2.31533619 9.16430000
2.33671896 9.00940000
2.35810175 8.85050000
2.37948452 8.68880000
2.40086730 8.52550000
2.42225007 8.36120000
2.44363286 8.19660000
2.46501563 8.03220000
2.48639842 7.86830000
2.50778119 7.70530000
2.52916397 7.54350000
2.55054674 7.38310000
2.55054674 7.38310000
2.61469507 6.91190000
2.67884341 6.45860000
2.74299174 6.18030000
2.80714008 5.93680000
2.87128841 5.56770000
2.93543675 5.20240000
2.99958508 4.85600000
3.06373341 4.53220000
3.12788175 4.23190000
3.19203008 3.95550000
3.25617842 3.70260000
3.32032675 3.47260000
3.38447508 3.26480000
3.44862342 3.07850000
3.51277175 2.91380000
3.57692009 2.79210000
3.64106842 2.71780000
3.70521676 2.61910000
3.76936509 2.55720000

0.00000000 7.70320000
0.05237690 7.71160000
0.10475379 7.73580000
0.15713069 7.77270000
0.20950759 7.81450000
0.26188448 7.84360000
0.31426138 7.81860000
0.36663827 7.67520000
0.41901517 7.36890000
0.47139207 6.97180000
0.52376894 6.53140000
0.57614584 6.07020000
0.62852274 5.59900000
0.68089963 5.12430000
0.73327653 4.65310000
0.78565342 4.19630000
0.83803032 3.77440000
0.89040722 3.42590000
0.94278411 3.20700000
0.99516101 3.13930000
0.99516101 3.13930000
1.05564064 3.22270000
1.11612027 3.44520000
1.17659990 3.74560000
1.23707953 4.05050000
1.29755916 4.26190000
1.35803879 4.26530000
1.41851842 4.58360000
1.47899805 5.01770000
1.53947768 5.46420000
1.59995729 5.92060000
1.66043692 6.38530000
1.72091655 6.85700000
1.78139618 7.33500000
1.84187581 7.81830000
1.90235544 8.30550000
1.96283507 8.79330000
2.02331470 9.27290000
2.08379433 9.71040000
2.14427396 9.94070000
2.14427396 9.94070000
2.16565673 9.93160000
2.18703952 9.90460000
2.20842229 9.86070000
2.22980508 9.80150000
2.25118785 9.72870000
2.27257063 9.64420000
2.29395340 9.54990000
2.31533619 9.44730000
2.33671896 9.33850000
2.35810175 9.22430000
2.37948452 9.10480000
2.40086730 8.98220000
2.42225007 8.85760000
2.44363286 8.73250000
2.46501563 8.60660000
2.48639842 8.43490000
2.50778119 8.26020000
2.52916397 8.08740000
2.55054674 7.91880000
2.55054674 7.91890000
2.61469507 7.43480000
2.67884341 7.01150000
2.74299174 6.93880000
2.80714008 6.66760000
2.87128841 6.37510000
2.93543675 6.11980000
2.99958508 5.90910000
3.06373341 5.75060000
3.12788175 5.64870000
3.19203008 5.59840000
3.25617842 5.57520000
3.32032675 5.52420000
3.38447508 5.36130000
3.44862342 5.02550000
3.51277175 4.55120000
3.57692009 4.03010000
3.64106842 3.55770000
3.70521676 3.24050000
3.76936509 3.13930000

